Instrumento;Acción;Cantidad;Precio;Tiempo;ID;E/X;Posición;ID de orden;Nombre;Comisión;Tarifa;Nombre de cuenta de pantalla;Conexión;
NQ 09-25;Vender;1;22226,25;23/06/2025 23:17:42;601964e6888f4018b2650452b95a60d7;Salida;-;0904ade0294d4b0a86a6bb3f32d24f62;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22241,25;23/06/2025 23:11:50;b6ca8585e5fb4caca04a5ac31bb8e91d;Entrada;1 L;15a82b6585b84a0b8c0f01b177d5077e;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22232,75;23/06/2025 23:10:40;48c13fd9974b4e1688ec1279484c92b9;Salida;-;a4ab5d1af00e4c5c9f9c470b6993358d;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22219,50;23/06/2025 23:10:08;6d2760b260a94e13a1732cdd509749cb;Entrada;1 S;e4eff5be29274b68b22e53d1e9e1513f;ShortEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22225,75;23/06/2025 21:57:56;0ab244a52d254013851cf547a9fefd64;Salida;-;5e03647a02094f3e84be9a0f45faf629;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22241,50;23/06/2025 21:52:40;e3067ca2f09b4f039a6edab635ca7317;Entrada;1 L;b1a5c11e512346f7924a727574f93258;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22234,25;23/06/2025 20:30:23;507d934fae74408e8f0e4ae78441fb44;Salida;-;90b6ea3eb5f5415f88d8d733e0e9c984;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22228,75;23/06/2025 20:10:42;152957319b834449a9d69242998c9e2f;Entrada;1 L;b7f19adfb20e4d53b6547fa5dd793e94;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22194,50;23/06/2025 19:22:47;cea1f9906f0e4c52abb2c702426cb288;Salida;-;eafd417d145f436a9a6a5c48098132f3;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22167,25;23/06/2025 19:13:39;40eb7930007d49c985a0e034fbbb0cb0;Entrada;1 L;93f94dc76fe249539c66bc82a206c418;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22121,25;23/06/2025 19:07:02;2ea4892ae9584f5aa6c268ff6b3a283e;Salida;-;cd70379786c14370a891add8cff8f85e;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22123,00;23/06/2025 19:03:33;9938a5b1da764469924fb252d2548e25;Entrada;1 L;58634fdf6a2d4f329cd7242e5cedc977;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22108,00;23/06/2025 19:03:27;5d0168fca7e8466c928da977e7b89692;Salida;-;ee7fbe43b05a4cdc8894354788cbf96b;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22083,00;23/06/2025 16:54:21;7f600116275c483db44c088e66ad277e;Entrada;1 L;21901f64c06c4c3b99483f6e75cc20d9;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22038,00;23/06/2025 16:43:09;eff0790358c749cf8e2ff71a3c840c90;Salida;-;b148c80ce0f1457ba4145f680ee2ff7a;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22052,50;23/06/2025 16:26:41;669e2dc030e54d7a8a7d91e5e4b85d27;Entrada;1 L;104a4f88ae214f2d916be998233e8a03;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22047,00;23/06/2025 16:24:14;018641d1a0594aeba1605d73ce58a669;Salida;-;c919f3db68304aba879ad3f64ffc3bd5;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22046,25;23/06/2025 16:05:24;34d162fad396490fb77808f1494e57b3;Entrada;1 S;dce961fe68cc4978981e8ce978d46ff8;ShortEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22062,50;23/06/2025 15:16:51;6067f7819ecf4068920d1fdd95a62e62;Salida;-;dfacff85f88e4191ae718ec3583dc336;SL;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22062,25;23/06/2025 15:02:37;04775cbe28434ef2989d555d5c782b64;Entrada;1 L;ba67f4a7f24d42c9b8b2f241589ba2c3;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;22056,00;23/06/2025 14:31:33;bb16fe056a4a48088357313740557f8e;Salida;-;3a74fa5cee3945b99e2a8fd472b1feff;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;22029,75;23/06/2025 14:29:09;66f0194bbf744bf18fd4ed892bf0e58f;Entrada;1 L;2bef8c632aeb4237aecd34af4d4e256b;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21993,75;23/06/2025 14:26:43;3313372d31b74d3292104f59b11b5c2b;Salida;-;1625ce52d8e04fbf993e0ab1d43ac01f;TP;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Comprar;1;21959,00;23/06/2025 14:19:28;bd7c6ec554374abe936ac66e7248613b;Entrada;1 L;637fdf607fb440e08887bd0e9aba845a;LongEntry;0,00 $;1;Playback101;Reproducción;
NQ 09-25;Vender;1;21939,75;23/06/2025 14:11:44;94e9a8c646994af98b09634f373c71e9;Salida;-;7e53d8823bc4446d806a7f044ede633e;TP;0,00 $;1;Playback101;Reproducción;
